,id,word,article,topics,level,gender,partOfSpeech,translation,transcriptionRu,plural,examples,association,image,forms,conjugation
sterben,sterben,—,health,B1,—,глагол,умирать,ште́рбен,—,Er ist gestorben.,(стерва — смерть),sterben.jpg,sterben; starb; ist gestorben,ich sterbe…,
streiten,streiten,—,emotions,A2,—,глагол,ссориться,штра́йтен,stritt; hat gestritten,Wir streiten oft.,(страйк → конфликт),streiten.jpg,—,ich streite…,
,krankheit,Krankheit,die,health,A2,f,сущ.,болезнь,кра́нкхайт,Krankheiten,Die Krankheit ist ernst. — Болезнь серьёзная.,"(кран + хай: из крана льётся вода, и ты заболел)",krankheit.jpg,—,—
,gesundheit,Gesundheit,die,health,A1,f,сущ.,здоровье,гезу́нтхайт,—,Die Gesundheit ist wichtig. — Здоровье важно.,(будь здоров → Gesundheit),gesundheit.jpg,—,—
,schmerz,Schmerz,der,health,A2,m,сущ.,боль,шмерц,Schmerzen,Ich habe starke Schmerzen. — У меня сильная боль.,(шмель жалит → Schmerz),schmerz.jpg,—,—
,beschwerde,Beschwerde,die,health,B1,f,сущ.,"жалоба, недомогание",бешве́рде,Beschwerden,Ich habe Beschwerden im Rücken.,(вес + тяжесть → тяжело → Beschwerden),beschwerde.jpg,—,—
,schwindel,Schwindel,der,health,A2,m,сущ.,головокружение,шви́ндель,—,Mir wird schwindlig. — У меня кружится голова.,(швабра крутится → Schwindel),schwindel.jpg,—,—
,antibiotikum,Antibiotikum,das,health,B1,n,сущ.,антибиотик,антибио́тикум,Antibiotika,Der Arzt verschreibt ein Antibiotikum.,"(анти — против, биотик — бактерий)",antibiotikum.jpg,—,—
,medikament,Medikament,das,health,A2,n,сущ.,лекарство,медикаме́нт,Medikamente,Ich nehme ein Medikament ein.,(медик даёт средство → Medikament),medikament.jpg,—,—
,rezept,Rezept,das,health,A2,n,сущ.,рецепт (мед.),реце́пт,Rezepte,Ich brauche ein Rezept.,"(как в кухне, но медицинское)",rezept.jpg,—,—
,krankenhaus,Krankenhaus,das,health,A1,n,сущ.,больница,кра́нкенхаус,Krankenhäuser,Ich muss ins Krankenhaus.,(дом больных → Krankenhaus),krankenhaus.jpg,—,—
,termin,Termin,der,health,A1,m,сущ.,"запись, приём",терми́н,Termine,Ich habe einen Termin beim Arzt.,(термин → время → Termin),termin.jpg,—,—
,praxis,Praxis,die,health,A2,f,сущ.,"врачебная практика, кабинет",пра́ксис,Praxen,Die Praxis ist geschlossen.,(практика врача → Praxis),praxis.jpg,—,—
,notaufnahme,Notaufnahme,die,health,B1,f,сущ.,приёмное отделение,но́тауфнаме,—,Ich muss in die Notaufnahme.,(нота СРОЧНО → Not),notaufnahme.jpg,—,—
,untersuchung,Untersuchung,die,health,A2,f,сущ.,обследование,унтерзу́хунг,Untersuchungen,Die Untersuchung dauert 10 Minuten.,(зух → искать → Untersuchung),untersuchung.jpg,—,—
,versicherung,Versicherung,die,health,B1,f,сущ.,страховка,ферзи́херунг,Versicherungen,Ich habe eine Krankenversicherung.,(фиксировать → sichern → страховать),versicherung.jpg,—,—
,tablette,Tablette,die,health,A1,f,сущ.,таблетка,табле́тте,Tabletten,Ich nehme eine Tablette.,(таблетка → Tablette),tablette.jpg,—,—
,fieber,Fieber,das,health,A1,n,сущ.,"лихорадка, температура",фи́бер,—,Ich habe Fieber. — У меня температура.,(фибра — жар → Fieber),fieber.jpg,—,—
,husten,Husten,der,health,A1,m,сущ.,кашель,ху́стен,—,Ich habe Husten.,(хуст → хост → кашель),husten.jpg,—,—
,schnupfen,Schnupfen,der,health,A1,m,сущ.,насморк,шну́пфен,—,Ich habe Schnupfen.,(шнурок в носу → Schnupfen),schnupfen.jpg,—,—
,erkältung,Erkältung,die,health,A1,f,сущ.,простуда,эркэ́льтунг,Erkältungen,Ich habe eine Erkältung.,(холод — kalt → Erkältung),erkältung.jpg,—,—
,übelkeit,Übelkeit,die,health,A2,f,сущ.,тошнота,ю́белкайт,—,Ich habe Übelkeit.,(убило в животе → Übelkeit),übelkeit.jpg,—,—
,erbrechen,Erbrechen,das,health,B1,n,сущ.,рвота,эрбре́хен,—,Das Erbrechen hörte auf.,(brechen — ломать → вырвало),erbrechen.jpg,—,—
,wunde,Wunde,die,health,A2,f,сущ.,рана,ву́нде,Wunden,Die Wunde ist tief.,(вунд — больно → Wunde),wunde.jpg,—,—
,verletzung,Verletzung,die,health,A2,f,сущ.,"травма, повреждение",ферле́цунг,Verletzungen,Die Verletzung ist nicht schlimm.,(лет — удар → Verletzung),verletzung.jpg,—,—
,allergie,Allergie,die,health,B1,f,сущ.,аллергия,алергИ́,Allergien,Ich habe eine Allergie.,(аллергия = Allergie),allergie.jpg,—,—
,durchfall,Durchfall,der,health,A2,m,сущ.,понос,ду́рхфаль,—,Ich habe Durchfall.,(через + падать → Durchfall),durchfall.jpg,—,—
,verstopfung,Verstopfung,die,health,B1,f,сущ.,запор,фершто́пфунг,Verstopfungen,Ich habe eine Verstopfung.,(стоп → остановка → Verstopfung),verstopfung.jpg,—,—
,entzündung,Entzündung,die,health,B1,f,сущ.,воспаление,энтцЮ́ндунг,Entzündungen,Die Entzündung ist stark.,(цун — огонь → жар → Entzündung),entzündung.jpg,—,—
,fiebermesser,Fiebermesser,das,health,A2,n,сущ.,градусник,фи́бермессер,—,Wo ist das Fiebermesser?,(Fieber + Messer — «нож» температуры),fiebermesser.jpg,—,—
,sprechstunde,Sprechstunde,die,health,A2,f,сущ.,часы приёма,шпре́хштунде,Sprechstunden,Die Sprechstunde beginnt um 9.,(sprechen + Stunde),sprechstunde.jpg,—,—
,symptom,Symptom,das,health,B1,n,сущ.,симптом,зюмто́м,Symptome,Das ist ein typisches Symptom.,(как в русском),symptom.jpg,—,—
,blutdruck,Blutdruck,der,health,A2,m,сущ.,кровяное давление,блУтдрук,—,Mein Blutdruck ist hoch.,(Blut + Druck — давление крови),blutdruck.jpg,—,—
,röntgen,Röntgen,das,health,B1,n,сущ.,рентген,рёнтгэн,—,Ich brauche ein Röntgen.,(как русское рентген),röntgen.jpg,—,—
,überweisung,Überweisung,die,health,B1,f,сущ.,направление (к врачу),ю́берввайзунг,Überweisungen,Ich brauche eine Überweisung.,(überweisen — направлять),überweisung.jpg,—,—
,eiter,Eiter,der,health,B2,m,сущ.,гной,А́йтер,—,Die Wunde hat Eiter.,"(ай, больно! → Eiter)",eiter.jpg,—,—
,sodbrennen,Sodbrennen,das,health,B1,n,сущ.,изжога,зо́тбреннен,—,Ich habe Sodbrennen.,(жжёт → brennen → Brennen),sodbrennen.jpg,—,—
,schüttelfrost,Schüttelfrost,der,health,B1,m,сущ.,озноб,шЮттельфрост,—,Ich habe Schüttelfrost.,(schütteln — трясти → дрожь),schüttelfrost.jpg,—,—
,schwindelig,schwindelig,—,health,A2,—,прил.,"головокружительный, кружится голова",шви́ндэлиг,—,Mir ist schwindelig.,(как Schwindel),schwindelig.jpg,—,—
,entzündet,entzündet,—,health,B1,—,прил.,воспалённый,энтцЮ́ндэт,—,Die Stelle ist entzündet.,(Entzündung → entzündet),entzündet.jpg,—,—
,übel,übel,—,health,A2,—,прил.,"плохо, дурно",ю́бел,—,Mir ist übel.,(убило → плохо),übel.jpg,—,—
,schwitzen,schwitzen,—,health,A2,—,глагол,потеть,шви́цэн,—,Ich schwitze viel.,(швейцар в жаре → schwitzen),schwitzen.jpg,schwitzen; schwitzte; hat geschwitzt,ich schwitze; du schwitzt; er schwitzt; wir schwitzen; ihr schwitzt; sie schwitzen
,zunehmen,zunehmen,—,health,B1,—,глагол,набирать вес,цу́-неймен,—,Ich nehme zu.,(к чему-то «прибавляется» → zu + nehmen),zunehmen.jpg,zunehmen; nahm zu; hat zugenommen,ich nehme zu…
,abnehmen,abnehmen,—,health,B1,—,глагол,"худеть, снижать",а́б-неймен,—,Ich nehme ab.,(ab — от → «убирается»),abnehmen.jpg,abnehmen; nahm ab; hat abgenommen,ich nehme ab…
,schwellen,schwellen,—,health,B2,—,глагол,опухать,шве́ллен,—,Das Bein schwillt an.,(швабра набухает водой),schwellen.jpg,schwellen; schwoll; ist geschwollen,ich schwelle…
,brechen,brechen,—,health,A2,—,глагол,ломать,бре́хен,—,Ich breche mir den Arm.,(брёвна ломают → brechen),brechen.jpg,brechen; brach; hat gebrochen,ich breche…
,leiden,leiden,—,health,B1,—,глагол,страдать,ла́йден,—,Ich leide an Migräne.,(лай собак — страдание),leiden.jpg,leiden; litt; hat gelitten,ich leide…
,einnehmen,einnehmen,—,health,A2,—,глагол,принимать (лекарство),áйн-неймен,—,Ich nehme Tabletten ein.,(внутрь — ein → einnehmen),einnehmen.jpg,einnehmen; nahm ein; hat eingenommen,ich nehme ein…
,verschreiben,verschreiben,—,health,B2,—,глагол,прописывать,фершра́йбен,—,Der Arzt verschreibt ein Medikament.,(schreiben — писать → прописать),verschreiben.jpg,verschreiben; verschrieb; hat verschrieben,ich verschreibe…
