id,word,article,topics,level,gender,partOfSpeech,translation,transcriptionRu,plural,examples,association,image,forms,conjugation
sterben,sterben,—,health,B1,—,глагол,умирать,ште́рбен,—,Er ist gestorben.,(стерва — смерть),sterben.jpg,sterben; starb; ist gestorben,ich sterbe…
streiten,streiten,—,emotions,A2,—,глагол,ссориться,штра́йтен,stritt; hat gestritten,Wir streiten oft.,(страйк → конфликт),streiten.jpg,—,ich streite…
vertrauen,vertrauen,—,relationships & communication,B1,—,глагол,доверять,фертра́уэн,—,Ich vertraue dir.,(открыть сердце — доверять),vertrauen.jpg,—,ich vertraue; du vertraust; er vertraut; wir vertrauen; ihr vertraut; sie/Sie vertrauen
geben,geben,—,relationships & communication,A1,—,глагол,давать,ге́бен,gab; hat gegeben,Ich gebe dir das Buch.,(give),geben.jpg,gab; hat gegeben,ich gebe; du gibst; er gibt; wir geben; ihr gebt; sie/Sie geben
verzeihen,verzeihen,—,relationships & communication,B1,—,глагол,прощать,ферца́йен,verzieh; hat verziehen,Ich verzeihe dir.,(цай — мягкое «прощаю»),verzeihen.jpg,verzieh; hat verziehen,ich verzeihe; du verzeihst; er verzeiht; wir verzeihen; ihr verzeiht; sie/Sie verzeihen
nicken,nicken,—,relationships & communication,A2,—,глагол,кивать,ни́ккен,—,Er nickt zustimmend.,(ник-ник — киваешь),nicken.jpg,—,ich nicke; du nickst; er nickt; wir nicken; ihr nickt; sie/Sie nicken
bieten,bieten,—,relationships & communication,A2,—,глагол,предлагать,би́тен,bot; hat geboten,Er bietet Hilfe an.,(бита — предлагаешь удар),bieten.jpg,bot; hat geboten,ich biete; du bietest; er bietet; wir bieten; ihr bietet; sie/Sie bieten
empfangen,empfangen,—,relationships & communication,B1,—,глагол,"принимать (людей, сигнал)",эмфа́нген,empfing; hat empfangen,Ich empfange Gäste.,(фан — принимать фанатов),empfangen.jpg,empfing; hat empfangen,ich empfange; du empfängst; er empfängt; wir empfangen; ihr empfangt; sie/Sie empfangen
verabschieden,verabschieden,—,relationships & communication,B1,—,глагол,прощаться,феравшИден,—,Ich verabschiede mich.,(abschied — прощание),verabschieden.jpg,—,ich verabschiede; du verabschiedest; er verabschiedet; wir verabschieden; ihr verabschiedet; sie/Sie verabschieden
schenken,schenken,—,relationships & communication,A1,—,глагол,дарить,ше́нкен,—,Ich schenke dir ein Buch.,(шенка — подарок),schenken.jpg,—,ich schenke; du schenkst; er schenkt; wir schenken; ihr schenkt; sie/Sie schenken
stoeren,stören,—,relationships & communication,A2,—,глагол,мешать,штё́рен,—,Du störst mich.,(шторм — мешает),stören.jpg,—,ich störe; du störst; er stört; wir stören; ihr stört; sie/Sie stören
helfen,helfen,—,relationships & communication,A1,—,глагол (Dativ!),помогать,хе́льфен,half; hat geholfen,Ich helfe dir.,(help),helfen.jpg,half; hat geholfen,ich helfe; du hilfst; er hilft; wir helfen; ihr helft; sie/Sie helfen
besuchen,besuchen,—,relationships & communication,A1,—,глагол,посещать,безу́хен,—,Ich besuche meine Oma.,(в гости — besuchen),besuchen.jpg,—,ich besuche; du besuchst; er besucht; wir besuchen; ihr besucht; sie/Sie besuchen
streiten,streiten,—,relationships & communication,A2,—,глагол,ссориться,штра́йтен,stritt; hat gestritten,Wir streiten oft.,(страйк — конфликт),streiten.jpg,stritt; hat gestritten,ich streite; du streitest; er streitet; wir streiten; ihr streitet; sie/Sie streiten
umarmen,umarmen,—,relationships & communication,A1,—,глагол,обнимать,ума́рмен,—,Ich umarme dich.,(arms — руки вокруг),umarmen.jpg,—,ich umarme; du umarmst; er umarmt; wir umarmen; ihr umarmt; sie/Sie umarmen
loben,loben,—,relationships & communication,A2,—,глагол,хвалить,ло́бен,—,Ich lobe dich.,(лоб + светится → похвала),loben.jpg,—,ich lobe; du lobst; er lobt; wir loben; ihr lobt; sie/Sie loben
kuessen,küssen,—,relationships & communication,A1,—,глагол,целовать,кю́ссен,—,Ich küsse dich.,(звук поцелуя — кю),küssen.jpg,—,ich küsse; du küsst; er küsst; wir küssen; ihr küsst; sie/Sie küssen
sprechen,sprechen,—,relationships & communication,A1,—,глагол,говорить,шпре́хен,sprach; hat gesprochen,Ich spreche Deutsch.,(speak),sprechen.jpg,sprach; hat gesprochen,ich spreche; du sprichst; er spricht; wir sprechen; ihr sprecht; sie/Sie sprechen
sagen,sagen,—,relationships & communication,A1,—,глагол,сказать,за́ген,—,Ich sage die Wahrheit.,(сказать — sagen),sagen.jpg,—,ich sage; du sagst; er sagt; wir sagen; ihr sagt; sie/Sie sagen
fragen,fragen,—,relationships & communication,A1,—,глагол,спрашивать,фра́ген,—,Ich frage dich.,(frage — вопрос),fragen.jpg,—,ich frage; du fragst; er fragt; wir fragen; ihr fragt; sie/Sie fragen
antworten,antworten,—,relationships & communication,A1,—,глагол,отвечать,а́нтвортен,—,Ich antworte dir.,(antwort — ответ),antworten.jpg,—,ich antworte; du antwortest; er antwortet; wir antworten; ihr antwortet; sie/Sie antworten
erzaehlen,erzählen,—,relationships & communication,A1,—,глагол,рассказывать,эрцэ́лен,—,Ich erzähle dir alles.,(цель — донести историю),erzählen.jpg,—,ich erzähle…
erklaeren,erklären,—,relationships & communication,A1,—,глагол,объяснять,эклэ́рен,—,Ich erkläre es dir.,(клара — ясность),erklären.jpg,—,ich erkläre…
zuhoeren,zuhören,—,relationships & communication,A2,—,глагол,слушать внимательно,цу́хёрен,—,Hör mir zu!,(к уху — zuhören),zuhören.jpg,—,ich höre zu…
rufen,rufen,—,relationships & communication,A1,—,глагол,"звать, кричать",ру́фен,rief; hat gerufen,Ich rufe dich an.,(руф! — зов),rufen.jpg,rief; gerufen,ich rufe…
gruessen,grüßen,—,relationships & communication,A1,—,глагол,приветствовать,грю́сен,—,Ich grüße dich.,(гру — привет),grüßen.jpg,—,ich grüße…
bitten,bitten,—,relationships & communication,A1,—,глагол,просить,би́ттен,bat; hat gebeten,Ich bitte dich um Hilfe.,(please → bitten),bitten.jpg,bat; gebeten,ich bitte…
widersprechen,widersprechen,—,relationships & communication,B1,—,глагол,возражать,ви́дэршпрехен,widersprach; hat widersprochen,Ich widerspreche dir.,(speak against → widersprechen),widersprechen.jpg,widersprach; widersprochen,ich widerspreche…
sich_entschuldigen,sich entschuldigen,—,relationships & communication,A2,—,глагол,извиняться,зих энтшу́льдиген,—,Ich entschuldige mich.,(schuld — вина → убрать вину),entschuldigen.jpg,—,ich entschuldige mich…
sich_bedanken,sich bedanken,—,relationships & communication,A2,—,глагол,благодарить,зих беда́нкен,—,Ich bedanke mich bei dir.,(danke → bedanken),bedanken.jpg,—,ich bedanke mich…
sich_vorstellen,sich vorstellen,—,relationships & communication,A2,—,глагол,представляться,зих фо́рштеллен,—,Ich stelle mich vor.,(ставить перед собой → vorstellen),vorstellen.jpg,—,ich stelle mich vor…
kennenlernen,kennenlernen,—,relationships & communication,A1,—,глагол,познакомиться,ке́ннэнлернен,—,Wir lernen uns kennen.,(learn to know),kennenlernen.jpg,—,ich lerne kennen…
einladen,einladen,—,relationships & communication,A2,—,глагол,приглашать,а́йнладен,lud ein; hat eingeladen,Ich lade dich ein.,(load into event → einladen),einladen.jpg,lud ein; eingeladen,ich lade ein…
vorschlagen,vorschlagen,—,relationships & communication,B1,—,глагол,предлагать,фо́ршлаген,schlug vor; hat vorgeschlagen,Ich schlage vor…,(бить вперёд идею),vorschlagen.jpg,schlug vor; vorgeschlagen,ich schlage vor…
unterhalten,unterhalten,—,relationships & communication,B1,—,глагол,"общаться, развлекать",унтэрха́льтен,unterhielt; hat unterhalten,Wir unterhalten uns.,(держать разговор),unterhalten.jpg,unterhielt; unterhalten,ich unterhalte…
vergeben,vergeben,—,relationships & communication,B1,—,глагол,прощать; выдавать,ферге́бен,vergab; hat vergeben,Ich vergebe dir.,(дать заново → прощение),vergeben.jpg,vergab; vergeben,ich vergebe…
verbieten,verbieten,—,relationships & communication,B1,—,глагол,запрещать,ферби́тен,verbot; hat verboten,Ich verbiete es dir.,(bieten — предлагать; ver- наоборот → запрещать),verbieten.jpg,verbot; verboten,ich verbiete…
empfehlen,empfehlen,—,relationships & communication,B1,—,глагол,рекомендовать,эмфе́лен,empfahl; hat empfohlen,Ich empfehle das Buch.,(fall into favor → empfehlen),empfehlen.jpg,empfahl; empfohlen,ich empfehle…
teilnehmen,teilnehmen,—,relationships & communication,A2,—,глагол,участвовать,та́йлнеймен,nahm teil; hat teilgenommen,Ich nehme teil.,(тайл — часть → teilnehmen),teilnehmen.jpg,nahm teil; teilgenommen,ich nehme teil…
versprechen,versprechen,—,relationships & communication,A2,—,глагол,обещать,фершпре́хен,versprach; hat versprochen,Ich verspreche es dir.,(говорить вперёд),versprechen.jpg,versprach; versprochen,ich verspreche…
treffen,treffen,—,relationships & communication,A1,—,глагол,встречать(ся),тре́ффен,traf; hat getroffen,Wir treffen uns morgen.,(traffic → встреча),treffen.jpg,traf; getroffen,ich treffe; du triffst; er trifft…
